rank,rank_score,input_value,borrow_ratio,repay_ratio,chain_window,reentry_window,liquidity_drift_step,borrow_drift_step,constraint_mode,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_rejected_borrows,total_rejected_withdraws,residual_debt_shares,residual_debt_value,net_external_position,protocol_shortfall_model,extraction_ratio_ppm,survived_constraints,extraction_candidate,shortfall_candidate,rejected_by_constraints,reason
62,148501000003,1000000,3/4,1/100,1000,100,31,67,withdraw_guarded,100000000000,75000000000,750000000,25749700000,0,0,74250100000,74250200000,-300000,74250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
63,148501000003,1000000,3/4,1/100,1000,100,31,67,repay_required_before_withdraw,100000000000,75000000000,750000000,25749700000,0,0,74250100000,74250200000,-300000,74250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
64,148501000003,1000000,3/4,1/100,1000,100,123,456,withdraw_guarded,100000000000,75000000000,750000000,25749700000,0,0,74250100000,74250200000,-300000,74250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
65,148501000003,1000000,3/4,1/100,1000,100,123,456,repay_required_before_withdraw,100000000000,75000000000,750000000,25749700000,0,0,74250100000,74250200000,-300000,74250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
66,148501000003,1000000,3/4,1/100,1000,100,8191,8191,withdraw_guarded,100000000000,75000000000,750000000,25749700000,0,0,74250100000,74250200000,-300000,74250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
67,148501000003,1000000,3/4,1/100,1000,100,8191,8191,repay_required_before_withdraw,100000000000,75000000000,750000000,25749700000,0,0,74250100000,74250200000,-300000,74250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
68,142501112499,1000000,3/4,1/20,1000,100,1,1,loose,100000000000,75000000000,3750000000,99999900000,0,0,71250100000,71250200000,71249900000,300000,712499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
69,142501112499,1000000,3/4,1/20,1000,100,1,1,health_checked,100000000000,75000000000,3750000000,99999900000,0,0,71250100000,71250200000,71249900000,300000,712499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
70,142501112499,1000000,3/4,1/20,1000,100,31,67,loose,100000000000,75000000000,3750000000,99999900000,0,0,71250100000,71250200000,71249900000,300000,712499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
71,142501112499,1000000,3/4,1/20,1000,100,31,67,health_checked,100000000000,75000000000,3750000000,99999900000,0,0,71250100000,71250200000,71249900000,300000,712499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
72,142501112499,1000000,3/4,1/20,1000,100,123,456,loose,100000000000,75000000000,3750000000,99999900000,0,0,71250100000,71250200000,71249900000,300000,712499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
73,142501112499,1000000,3/4,1/20,1000,100,123,456,health_checked,100000000000,75000000000,3750000000,99999900000,0,0,71250100000,71250200000,71249900000,300000,712499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
74,142501112499,1000000,3/4,1/20,1000,100,8191,8191,loose,100000000000,75000000000,3750000000,99999900000,0,0,71250100000,71250200000,71249900000,300000,712499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
75,142501112499,1000000,3/4,1/20,1000,100,8191,8191,health_checked,100000000000,75000000000,3750000000,99999900000,0,0,71250100000,71250200000,71249900000,300000,712499,True,True,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;NET_EXTERNAL_VALUE_POSITIVE;PROTOCOL_SHORTFALL_POSITIVE;EXTERNAL_VALUE_OVER_50_PERCENT
76,142501000003,1000000,3/4,1/20,1000,100,1,1,withdraw_guarded,100000000000,75000000000,3750000000,28749700000,0,0,71250100000,71250200000,-300000,71250500000,3,True,False,True,False,RESIDUAL_DEBT_SURVIVED_CONSTRAINTS;PROTOCOL_SHORTFALL_POSITIVE
