rank,rank_score,signature_id,input_value,borrow_ratio,repay_ratio,chain_window,liquidity_drift_step,borrow_drift_step,total_supplied,total_borrowed,total_repaid,total_withdrawn,final_supply_shares,final_debt_shares,final_phantom_debt_value,final_delta,loss_ratio_ppm,max_single_step_delta,max_single_step_phantom_value,survived_chain,amplified,reason
39,256500861000,7,100000000,9/10,1/20,1000,11,17,100000000000,90000000000,4500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
40,256500861000,7,100000000,9/10,1/20,1000,31,67,100000000000,90000000000,4500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
41,256500861000,7,100000000,9/10,1/20,1000,123,456,100000000000,90000000000,4500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
42,256500861000,7,100000000,9/10,1/20,1000,8191,8191,100000000000,90000000000,4500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
43,256500861000,8,100000000,19/20,1/10,1000,1,1,100000000000,95000000000,9500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
44,256500861000,8,100000000,19/20,1/10,1000,3,7,100000000000,95000000000,9500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
45,256500861000,8,100000000,19/20,1/10,1000,11,17,100000000000,95000000000,9500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
46,256500861000,8,100000000,19/20,1/10,1000,31,67,100000000000,95000000000,9500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
47,256500861000,8,100000000,19/20,1/10,1000,123,456,100000000000,95000000000,9500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
48,256500861000,8,100000000,19/20,1/10,1000,8191,8191,100000000000,95000000000,9500000000,99999999000,99999999000,85500001000,85500002000,-85500003000,855000,85500003,85500002,True,True,CHAIN_DELTA_NONZERO;CHAIN_DEBT_RESIDUE_PERSISTS;CHAIN_PHANTOM_VALUE_PERSISTS;CHAIN_OVER_50_PERCENT_LOSS_MODEL;CHAIN_AMPLIFICATION_OVER_SINGLE_STEP;LONG_CHAIN_RESIDUE_STABLE
